,X,dataCard,monthYear,day,inches,maxTemp,minTemp,date,sawAvalanche
5493,123572,WA502,115,14,7.1,40,26,1/14/15,NA
5494,123573,WA502,115,15,7.1,41,27,1/15/15,No
5495,123574,WA502,115,16,7.6,37,20,1/16/15,NA
5496,123575,WA502,115,17,7.6,40,25,1/17/15,NA
5497,123576,WA502,115,18,8.6,40,28,1/18/15,NA
5498,123577,WA502,115,19,8.6,31,22,1/19/15,NA
5499,123578,WA502,115,20,8.6,33,18,1/20/15,NA
5500,123579,WA502,115,21,8.5,40,18,1/21/15,NA
5501,123580,WA502,115,22,8.5,44,33,1/22/15,NA
5502,123581,WA502,115,23,8.6,44,38,1/23/15,NA
5503,123582,WA502,115,24,8.6,49,40,1/24/15,NA
5504,123583,WA502,115,25,8,61,42,1/25/15,NA
5505,123584,WA502,115,26,7.8,53,42,1/26/15,NA
5506,123585,WA502,115,27,7.7,47,33,1/27/15,NA
5507,123586,WA502,115,28,7.6,43,25,1/28/15,NA
5508,123587,WA502,115,29,7.3,47,30,1/29/15,NA
5509,123588,WA502,115,30,7.2,49,31,1/30/15,NA
5510,123589,WA502,115,31,7.5,42,30,1/31/15,NA
5511,123590,WA502,215,1,7.6,37,28,2/1/15,NA
5512,123591,WA502,215,2,7.8,40,25,2/2/15,NA
5513,123592,WA502,215,3,7.9,38,28,2/3/15,NA
5514,123593,WA502,215,4,7.9,39,30,2/4/15,NA
5515,123594,WA502,215,5,8.1,41,33,2/5/15,NA
5516,123595,WA502,215,6,8.5,39,34,2/6/15,NA
5517,123596,WA502,215,7,8.5,38,33,2/7/15,NA
5518,123597,WA502,215,8,8.6,37,28,2/8/15,NA
5519,123598,WA502,215,9,8.7,37,33,2/9/15,NA
5520,123599,WA502,215,10,8.9,42,34,2/10/15,No
5521,123600,WA502,215,11,8.7,45,32,2/11/15,NA
5522,123601,WA502,215,12,8.6,53,35,2/12/15,NA
5523,123602,WA502,215,13,8.6,54,34,2/13/15,NA
5524,123603,WA502,215,14,8.6,44,28,2/14/15,NA
5525,123604,WA502,215,15,8.6,45,24,2/15/15,NA
5526,123605,WA502,215,16,8.4,36,23,2/16/15,NA
5527,123606,WA502,215,17,8.4,42,22,2/17/15,NA
5528,123607,WA502,215,18,8.4,51,31,2/18/15,NA
5529,123608,WA502,215,19,8.4,40,31,2/19/15,NA
5530,123609,WA502,215,20,8.4,39,28,2/20/15,NA
5531,123610,WA502,215,21,8.4,33,21,2/21/15,NA
5532,123611,WA502,215,22,8.3,33,17,2/22/15,NA
5533,123612,WA502,215,23,8.3,47,15,2/23/15,NA
5534,123613,WA502,215,24,8.1,46,30,2/24/15,NA
5535,123614,WA502,215,25,8,37,27,2/25/15,NA
5536,123615,WA502,215,26,8,42,30,2/26/15,NA
5537,123616,WA502,215,27,8,31,25,2/27/15,NA
5538,123617,WA502,215,28,8.3,33,15,2/28/15,NA
5539,123618,WA502,315,1,8.2,40,15,3/1/15,NA
5540,123619,WA502,315,2,8.2,32,23,3/2/15,NA
5541,123620,WA502,315,3,7.9,36,15,3/3/15,NA
5542,123621,WA502,315,4,7.9,46,19,3/4/15,NA
5543,123622,WA502,315,5,7.8,50,32,3/5/15,NA
5544,123623,WA502,315,6,7.8,54,34,3/6/15,NA
5545,123624,WA502,315,7,7.8,53,32,3/7/15,NA
5546,123625,WA502,315,8,7.7,56,31,3/8/15,NA
5547,123626,WA502,315,9,7.7,54,38,3/9/15,NA
5548,123627,WA502,315,10,7.7,56,37,3/10/15,NA
5549,123628,WA502,315,11,7.9,42,36,3/11/15,NA
5550,123629,WA502,315,12,8.1,49,32,3/12/15,NA
5551,123630,WA502,315,13,8.3,50,33,3/13/15,NA
5552,123631,WA502,315,14,8.5,42,35,3/14/15,NA
5553,123632,WA502,315,15,8.3,38,29,3/15/15,NA
5554,123633,WA502,315,16,8.7,38,23,3/16/15,NA
5555,123634,WA502,315,17,8.6,42,31,3/17/15,NA
5556,123635,WA502,315,18,8.6,48,30,3/18/15,NA
5557,123636,WA502,315,19,8.6,50,32,3/19/15,NA
5558,123637,WA502,315,20,8.3,47,35,3/20/15,NA
5559,123638,WA502,315,21,8.2,40,26,3/21/15,NA
5560,123639,WA502,315,22,8.5,37,24,3/22/15,NA
5561,123640,WA502,315,23,8.2,38,23,3/23/15,NA
5562,123641,WA502,315,24,8.4,34,26,3/24/15,Yes
5563,123642,WA502,315,25,8.6,42,27,3/25/15,NA
5564,123643,WA502,315,26,8.9,59,35,3/26/15,NA
5565,123644,WA502,315,27,8.7,57,33,3/27/15,NA
5566,123645,WA502,315,28,8.5,42,30,3/28/15,NA
5567,123646,WA502,315,29,8.5,49,33,3/29/15,NA
5568,123647,WA502,315,30,8.3,55,31,3/30/15,NA
5569,123648,WA502,315,31,8,37,24,3/31/15,NA
5570,123649,WA502,415,1,7.9,37,23,4/1/15,No
5571,123650,WA502,415,2,7.9,37,24,4/2/15,NA
5572,123651,WA502,415,3,7.6,40,23,4/3/15,NA
5573,123652,WA502,415,4,7.4,38,21,4/4/15,NA
5574,123653,WA502,415,5,7.1,35,20,4/5/15,NA
5575,123654,WA502,415,6,7,41,26,4/6/15,NA
5576,123655,WA502,415,7,6.8,34,26,4/7/15,NA
5577,123656,WA502,415,8,7,40,24,4/8/15,NA
5578,123657,WA502,415,9,7,44,26,4/9/15,NA
5579,123658,WA502,415,10,7.1,44,28,4/10/15,NA
5580,123659,WA502,415,11,7,31,23,4/11/15,NA
5581,123660,WA502,415,12,7.2,40,23,4/12/15,NA
5582,123661,WA502,415,13,7.3,45,24,4/13/15,NA
5583,123662,WA502,415,14,7.1,33,22,4/14/15,NA
5584,123663,WA502,415,15,7.1,42,22,4/15/15,NA
5585,123664,WA502,415,16,7.2,53,31,4/16/15,NA
5586,123665,WA502,415,17,7.1,58,35,4/17/15,NA
5587,123666,WA502,415,18,6.4,57,32,4/18/15,NA
5588,123667,WA502,415,19,5.9,58,35,4/19/15,NA
5589,123668,WA502,415,20,5.5,61,37,4/20/15,NA
5590,123669,WA502,415,21,5,57,27,4/21/15,NA
5591,123670,WA502,415,22,4.4,43,25,4/22/15,NA
5592,123671,WA502,415,23,3.6,44,26,4/23/15,NA
5593,123672,WA502,415,24,3.4,37,25,4/24/15,NA
5594,123673,WA502,415,25,3.4,38,25,4/25/15,No
5595,123674,WA502,415,26,3.2,50,22,4/26/15,NA
5596,123675,WA502,415,27,3.1,57,36,4/27/15,NA
5597,123676,WA502,415,28,2.1,58,31,4/28/15,NA
5598,123677,WA502,415,29,1.6,44,27,4/29/15,NA
5599,123678,WA502,415,30,0.8,57,31,4/30/15,NA
5600,123679,WA502,515,1,0.2,59,36,5/1/15,NA
5606,123685,WA502,515,7,0.5,52,29,5/7/15,NA
5607,123686,WA502,515,8,0.1,56,37,5/8/15,NA
5613,123692,WA502,515,14,0.5,47,33,5/14/15,NA
5784,123863,WA502,1115,1,0.2,36,32,11/1/15,NA
5785,123864,WA502,1115,2,0.7,37,28,11/2/15,NA
5786,123865,WA502,1115,3,0.7,35,21,11/3/15,NA
5787,123866,WA502,1115,4,0.6,37,20,11/4/15,NA
5788,123867,WA502,1115,5,0.7,37,30,11/5/15,NA
5789,123868,WA502,1115,6,0.8,48,32,11/6/15,NA
5790,123869,WA502,1115,7,0.8,43,36,11/7/15,NA
5791,123870,WA502,1115,8,0.8,38,30,11/8/15,NA
5792,123871,WA502,1115,9,0.8,34,27,11/9/15,NA
5793,123872,WA502,1115,10,0.9,37,26,11/10/15,NA
5794,123873,WA502,1115,11,0.8,33,25,11/11/15,NA
5795,123874,WA502,1115,12,0.9,40,24,11/12/15,NA
5796,123875,WA502,1115,13,1,43,38,11/13/15,NA
5797,123876,WA502,1115,14,0.6,41,36,11/14/15,No
5798,123877,WA502,1115,15,0.2,38,22,11/15/15,NA
5799,123878,WA502,1115,16,0.1,34,20,11/16/15,NA
5800,123879,WA502,1115,17,0.5,39,24,11/17/15,NA
5801,123880,WA502,1115,18,1.1,28,23,11/18/15,NA
5802,123881,WA502,1115,19,1.1,32,18,11/19/15,NA
5803,123882,WA502,1115,20,1.4,30,11,11/20/15,NA
5804,123883,WA502,1115,21,1.3,49,15,11/21/15,NA
5805,123884,WA502,1115,22,1.3,45,31,11/22/15,NA
5806,123885,WA502,1115,23,1.4,46,30,11/23/15,NA
5807,123886,WA502,1115,24,1.4,30,22,11/24/15,NA
5808,123887,WA502,1115,25,1.7,27,18,11/25/15,NA
5809,123888,WA502,1115,26,1.7,31,14,11/26/15,NA
5810,123889,WA502,1115,27,1.6,36,16,11/27/15,NA
5811,123890,WA502,1115,28,1.5,40,17,11/28/15,NA
5812,123891,WA502,1115,29,1.5,43,25,11/29/15,NA
5813,123892,WA502,1115,30,1.5,41,24,11/30/15,NA
5814,123893,WA502,1215,1,1.5,33,27,12/1/15,No
5815,123894,WA502,1215,2,1.8,41,31,12/2/15,NA
5816,123895,WA502,1215,3,2.2,34,31,12/3/15,NA
5817,123896,WA502,1215,4,3,33,25,12/4/15,NA
5818,123897,WA502,1215,5,3,30,25,12/5/15,NA
5819,123898,WA502,1215,6,4,35,29,12/6/15,NA
5820,123899,WA502,1215,7,4.7,38,32,12/7/15,NA
5821,123900,WA502,1215,8,6.3,43,35,12/8/15,NA
5822,123901,WA502,1215,9,6.3,40,27,12/9/15,No
5823,123902,WA502,1215,10,6.4,31,26,12/10/15,NA
5824,123903,WA502,1215,11,7.6,29,22,12/11/15,NA
5825,123904,WA502,1215,12,7.7,30,25,12/12/15,NA
5826,123905,WA502,1215,13,8.6,30,23,12/13/15,NA
5827,123906,WA502,1215,14,8.7,26,19,12/14/15,NA
5828,123907,WA502,1215,15,8.6,30,21,12/15/15,NA
5829,123908,WA502,1215,16,8.7,29,10,12/16/15,NA
5830,123909,WA502,1215,17,8.6,33,17,12/17/15,NA
5831,123910,WA502,1215,18,10.1,34,18,12/18/15,NA
5832,123911,WA502,1215,19,10.7,28,18,12/19/15,NA
5833,123912,WA502,1215,20,10.7,29,23,12/20/15,NA
5834,123913,WA502,1215,21,11.1,29,23,12/21/15,No
5835,123914,WA502,1215,22,12.2,26,17,12/22/15,NA
5836,123915,WA502,1215,23,12.5,24,19,12/23/15,NA
5837,123916,WA502,1215,24,13.5,26,10,12/24/15,NA
5838,123917,WA502,1215,25,13.4,24,10,12/25/15,NA
5839,123918,WA502,1215,26,13.4,24,7,12/26/15,NA
5840,123919,WA502,1215,27,13.6,27,19,12/27/15,NA
5841,123920,WA502,1215,28,13.7,26,20,12/28/15,NA
5842,123921,WA502,1215,29,13.7,26,16,12/29/15,NA
5843,123922,WA502,1215,30,13.7,20,6,12/30/15,NA
5844,123923,WA502,1215,31,13.6,22,1,12/31/15,NA
5845,123924,WA502,116,1,13.6,28,11,1/1/16,NA
5846,123925,WA502,116,2,13.6,22,3,1/2/16,NA
5847,123926,WA502,116,3,13.6,29,5,1/3/16,No
5848,123927,WA502,116,4,14,36,28,1/4/16,NA
5849,123928,WA502,116,5,14.1,31,28,1/5/16,NA
5850,123929,WA502,116,6,14.3,33,28,1/6/16,NA
5851,123930,WA502,116,7,14.3,36,24,1/7/16,NA
5852,123931,WA502,116,8,14.3,35,20,1/8/16,NA
5853,123932,WA502,116,9,14.2,33,17,1/9/16,NA
5854,123933,WA502,116,10,14.1,35,18,1/10/16,NA
5855,123934,WA502,116,11,14.1,37,10,1/11/16,NA
5856,123935,WA502,116,12,14.3,33,29,1/12/16,NA
5857,123936,WA502,116,13,15.5,36,24,1/13/16,NA
5858,123937,WA502,116,14,15.5,32,22,1/14/16,NA
5859,123938,WA502,116,15,15.6,34,24,1/15/16,NA
5860,123939,WA502,116,16,15.6,36,27,1/16/16,No
5861,123940,WA502,116,17,16.2,33,27,1/17/16,NA
5862,123941,WA502,116,18,16.6,35,27,1/18/16,NA
5863,123942,WA502,116,19,16.7,29,22,1/19/16,NA
5864,123943,WA502,116,20,17.3,35,26,1/20/16,NA
5865,123944,WA502,116,21,17.7,37,28,1/21/16,NA
5866,123945,WA502,116,22,18.5,37,28,1/22/16,NA
5867,123946,WA502,116,23,18.6,34,27,1/23/16,NA
5868,123947,WA502,116,24,19,33,18,1/24/16,NA
5869,123948,WA502,116,25,18.9,41,21,1/25/16,NA
5870,123949,WA502,116,26,18.8,44,30,1/26/16,NA
5871,123950,WA502,116,27,18.9,46,36,1/27/16,NA
5872,123951,WA502,116,28,19,42,27,1/28/16,NA
5873,123952,WA502,116,29,19.1,31,24,1/29/16,NA
5874,123953,WA502,116,30,20.1,27,19,1/30/16,NA
5875,123954,WA502,116,31,20.2,27,18,1/31/16,NA
5876,123955,WA502,216,1,20.2,28,19,2/1/16,NA
5877,123956,WA502,216,2,20.3,33,13,2/2/16,NA
5878,123957,WA502,216,3,20.3,28,20,2/3/16,NA
5879,123958,WA502,216,4,20.6,35,26,2/4/16,Yes
5880,123959,WA502,216,5,20.9,38,25,2/5/16,NA
5881,123960,WA502,216,6,21,33,24,2/6/16,NA
5882,123961,WA502,216,7,20.9,51,26,2/7/16,NA
5883,123962,WA502,216,8,20.9,61,36,2/8/16,NA
5884,123963,WA502,216,9,21.1,55,37,2/9/16,NA
5885,123964,WA502,216,10,21.2,46,33,2/10/16,NA
5886,123965,WA502,216,11,21.2,42,35,2/11/16,NA
5887,123966,WA502,216,12,21.8,43,29,2/12/16,NA
5888,123967,WA502,216,13,21.8,34,26,2/13/16,NA
5889,123968,WA502,216,14,21.8,40,33,2/14/16,NA
5890,123969,WA502,216,15,22,42,35,2/15/16,NA
5891,123970,WA502,216,16,21.8,41,33,2/16/16,NA
5892,123971,WA502,216,17,21.8,42,31,2/17/16,NA
5893,123972,WA502,216,18,21.9,33,27,2/18/16,NA
5894,123973,WA502,216,19,22,33,23,2/19/16,NA
5895,123974,WA502,216,20,22.6,33,22,2/20/16,NA
5896,123975,WA502,216,21,22.9,33,19,2/21/16,NA
5897,123976,WA502,216,22,22.8,34,19,2/22/16,NA
5898,123977,WA502,216,23,22.8,33,24,2/23/16,NA
5899,123978,WA502,216,24,22.8,45,26,2/24/16,NA
5900,123979,WA502,216,25,22.8,47,28,2/25/16,NA
5901,123980,WA502,216,26,22.8,49,32,2/26/16,NA
5902,123981,WA502,216,27,22.7,40,29,2/27/16,NA
5903,123982,WA502,216,28,22.8,37,24,2/28/16,NA
5904,123983,WA502,216,29,23.2,35,24,2/29/16,NA
11323,135306,WA515,1114,1,2.5,32,26,11/1/14,NA
11324,135307,WA515,1114,2,2.6,34,26,11/2/14,NA
11325,135308,WA515,1114,3,2.6,35,31,11/3/14,NA
11326,135309,WA515,1114,4,2.8,40,29,11/4/14,NA
11327,135310,WA515,1114,5,2.7,36,29,11/5/14,NA
11328,135311,WA515,1114,6,2.8,42,30,11/6/14,NA
11329,135312,WA515,1114,7,2.6,43,26,11/7/14,NA
11330,135313,WA515,1114,8,2.1,47,30,11/8/14,NA
11331,135314,WA515,1114,9,2.5,36,23,11/9/14,NA
11332,135315,WA515,1114,10,3.4,27,16,11/10/14,No
11333,135316,WA515,1114,11,3.3,16,2,11/11/14,NA
11334,135317,WA515,1114,12,2.9,13,1,11/12/14,NA
11335,135318,WA515,1114,13,2.6,19,5,11/13/14,NA
11336,135319,WA515,1114,14,2.5,20,4,11/14/14,NA
11337,135320,WA515,1114,15,2.2,28,10,11/15/14,NA
11338,135321,WA515,1114,16,2.4,41,21,11/16/14,NA
11339,135322,WA515,1114,17,2.7,47,26,11/17/14,NA
11340,135323,WA515,1114,18,2.9,46,36,11/18/14,NA
11341,135324,WA515,1114,19,3.1,41,26,11/19/14,NA
11342,135325,WA515,1114,20,3,36,19,11/20/14,NA
11343,135326,WA515,1114,21,3.1,31,18,11/21/14,NA
11344,135327,WA515,1114,22,3.9,29,18,11/22/14,NA
11345,135328,WA515,1114,23,4.7,27,18,11/23/14,NA
11346,135329,WA515,1114,24,5.8,33,23,11/24/14,NA
11347,135330,WA515,1114,25,6.2,33,23,11/25/14,NA
11348,135331,WA515,1114,26,9.8,38,28,11/26/14,NA
11349,135332,WA515,1114,27,11.4,40,32,11/27/14,NA
11350,135333,WA515,1114,28,11.9,33,8,11/28/14,NA
11351,135334,WA515,1114,29,13.9,10,-13,11/29/14,No
11352,135335,WA515,1114,30,13.8,14,1,11/30/14,NA
11353,135336,WA515,1214,1,13.7,23,2,12/1/14,NA
11354,135337,WA515,1214,2,13.8,25,10,12/2/14,NA
11355,135338,WA515,1214,3,13.8,26,13,12/3/14,NA
11356,135339,WA515,1214,4,14,37,19,12/4/14,NA
11357,135340,WA515,1214,5,14.3,33,24,12/5/14,NA
11358,135341,WA515,1214,6,14.4,31,27,12/6/14,NA
11359,135342,WA515,1214,7,14.7,31,26,12/7/14,NA
11360,135343,WA515,1214,8,14.8,30,18,12/8/14,NA
11361,135344,WA515,1214,9,15.1,35,26,12/9/14,NA
11362,135345,WA515,1214,10,15.8,34,23,12/10/14,NA
11363,135346,WA515,1214,11,16.8,33,26,12/11/14,NA
11364,135347,WA515,1214,12,17.3,31,18,12/12/14,NA
11365,135348,WA515,1214,13,17.3,28,16,12/13/14,NA
11366,135349,WA515,1214,14,17.2,24,17,12/14/14,NA
11367,135350,WA515,1214,15,17.3,23,20,12/15/14,NA
11368,135351,WA515,1214,16,17.3,23,15,12/16/14,NA
11369,135352,WA515,1214,17,17.4,26,21,12/17/14,NA
11370,135353,WA515,1214,18,17.5,28,21,12/18/14,NA
11371,135354,WA515,1214,19,17.6,31,19,12/19/14,NA
11372,135355,WA515,1214,20,17.7,32,20,12/20/14,NA
11373,135356,WA515,1214,21,19.2,32,21,12/21/14,NA
11374,135357,WA515,1214,22,21.2,26,15,12/22/14,Yes
11375,135357,WA515,1214,22,21.2,26,15,12/22/14,Yes
11376,135358,WA515,1214,23,21.3,36,17,12/23/14,NA
11377,135359,WA515,1214,24,22.2,24,19,12/24/14,NA
11378,135360,WA515,1214,25,22.2,22,16,12/25/14,NA
11379,135361,WA515,1214,26,22.3,22,12,12/26/14,NA
11380,135362,WA515,1214,27,22.4,28,15,12/27/14,NA
11381,135363,WA515,1214,28,23.1,21,10,12/28/14,NA
11382,135364,WA515,1214,29,23.4,12,-5,12/29/14,NA
11383,135365,WA515,1214,30,23.2,26,-5,12/30/14,NA
11384,135366,WA515,1214,31,23.5,30,20,12/31/14,No
11385,135367,WA515,115,1,23.6,40,26,1/1/15,NA
11386,135368,WA515,115,2,23.7,33,19,1/2/15,NA
11387,135369,WA515,115,3,23.7,21,16,1/3/15,NA
11388,135370,WA515,115,4,23.8,31,14,1/4/15,NA
11389,135371,WA515,115,5,24.9,37,29,1/5/15,NA
11390,135372,WA515,115,6,26.4,45,34,1/6/15,NA
11391,135373,WA515,115,7,26.4,47,36,1/7/15,NA
11392,135374,WA515,115,8,26.3,43,26,1/8/15,NA
11393,135375,WA515,115,9,26.4,35,24,1/9/15,NA
11394,135376,WA515,115,10,26.4,33,28,1/10/15,NA
11395,135377,WA515,115,11,26.7,29,24,1/11/15,NA
11396,135378,WA515,115,12,26.7,36,18,1/12/15,NA
11397,135379,WA515,115,13,26.7,42,23,1/13/15,NA
11398,135380,WA515,115,14,26.8,40,25,1/14/15,NA
11399,135381,WA515,115,15,26.8,36,14,1/15/15,NA
11400,135382,WA515,115,16,27,28,15,1/16/15,NA
11401,135383,WA515,115,17,27.5,31,13,1/17/15,NA
11402,135384,WA515,115,18,27.9,30,21,1/18/15,NA
11403,135385,WA515,115,19,29.1,28,21,1/19/15,Yes
11404,135386,WA515,115,20,29.5,33,17,1/20/15,NA
11405,135387,WA515,115,21,29.5,37,20,1/21/15,NA
11406,135388,WA515,115,22,29.6,37,30,1/22/15,NA
11407,135389,WA515,115,23,29.7,40,31,1/23/15,NA
11408,135390,WA515,115,24,30.3,42,36,1/24/15,NA
11409,135391,WA515,115,25,30.5,49,36,1/25/15,NA
11410,135392,WA515,115,26,30.4,50,36,1/26/15,NA
11411,135393,WA515,115,27,30.1,39,28,1/27/15,NA
11412,135394,WA515,115,28,30.1,38,25,1/28/15,NA
11413,135395,WA515,115,29,30,42,25,1/29/15,NA
11414,135396,WA515,115,30,30.2,45,31,1/30/15,NA
11415,135397,WA515,115,31,30.2,37,23,1/31/15,NA
11416,135398,WA515,215,1,30.3,30,21,2/1/15,NA
11417,135399,WA515,215,2,30.7,31,19,2/2/15,NA
11418,135400,WA515,215,3,31.2,33,24,2/3/15,NA
11419,135401,WA515,215,4,31.2,26,23,2/4/15,NA
11420,135402,WA515,215,5,31.3,35,23,2/5/15,NA
11421,135403,WA515,215,6,32.4,34,29,2/6/15,NA
11422,135404,WA515,215,7,33.2,35,23,2/7/15,NA
11423,135405,WA515,215,8,33.7,36,28,2/8/15,NA
11424,135406,WA515,215,9,33.9,41,29,2/9/15,No
11425,135407,WA515,215,10,34,38,29,2/10/15,NA
11426,135408,WA515,215,11,34.1,33,28,2/11/15,NA
11427,135409,WA515,215,12,34.1,42,28,2/12/15,NA
11428,135410,WA515,215,13,34.2,47,35,2/13/15,NA
11429,135411,WA515,215,14,34.3,38,25,2/14/15,NA
11430,135412,WA515,215,15,33.9,37,22,2/15/15,NA
11431,135413,WA515,215,16,33.9,33,20,2/16/15,NA
11432,135414,WA515,215,17,33.8,46,24,2/17/15,NA
11433,135415,WA515,215,18,33.7,42,28,2/18/15,NA
11434,135416,WA515,215,19,33.7,31,27,2/19/15,NA
11435,135417,WA515,215,20,33.8,34,24,2/20/15,NA
11436,135418,WA515,215,21,33.9,31,18,2/21/15,NA
11437,135419,WA515,215,22,33.9,36,16,2/22/15,NA
11438,135420,WA515,215,23,33.8,49,26,2/23/15,NA
11439,135421,WA515,215,24,33.9,38,22,2/24/15,NA
11440,135422,WA515,215,25,33.9,30,20,2/25/15,NA
11441,135423,WA515,215,26,34,35,24,2/26/15,NA
11442,135424,WA515,215,27,34.1,27,18,2/27/15,NA
11443,135425,WA515,215,28,34.3,28,5,2/28/15,NA
11444,135426,WA515,315,1,34.2,35,20,3/1/15,NA
11445,135427,WA515,315,2,34.3,24,11,3/2/15,NA
11446,135428,WA515,315,3,34.3,31,5,3/3/15,No
11447,135429,WA515,315,4,34.3,40,21,3/4/15,NA
11448,135430,WA515,315,5,34.3,41,25,3/5/15,NA
11449,135431,WA515,315,6,34.3,47,32,3/6/15,NA
11450,135432,WA515,315,7,34.3,47,29,3/7/15,NA
11451,135433,WA515,315,8,34.3,47,25,3/8/15,NA
11452,135434,WA515,315,9,34.3,43,32,3/9/15,NA
11453,135435,WA515,315,10,34.3,50,34,3/10/15,NA
11454,135436,WA515,315,11,34.3,41,32,3/11/15,NA
11455,135437,WA515,315,12,34.3,42,31,3/12/15,NA
11456,135438,WA515,315,13,34.3,40,31,3/13/15,NA
11457,135439,WA515,315,14,34.4,37,29,3/14/15,NA
11458,135440,WA515,315,15,35.2,31,23,3/15/15,NA
11459,135441,WA515,315,16,36.7,33,18,3/16/15,NA
11460,135442,WA515,315,17,36.7,37,24,3/17/15,NA
11461,135443,WA515,315,18,36.7,39,27,3/18/15,NA
11462,135444,WA515,315,19,36.7,36,31,3/19/15,NA
11463,135445,WA515,315,20,36.9,38,32,3/20/15,No
11464,135446,WA515,315,21,37.1,37,23,3/21/15,NA
11465,135447,WA515,315,22,37.5,35,24,3/22/15,NA
11466,135448,WA515,315,23,37.6,38,23,3/23/15,NA
11467,135449,WA515,315,24,37.8,36,23,3/24/15,NA
11468,135450,WA515,315,25,37.8,38,25,3/25/15,NA
11469,135451,WA515,315,26,38,51,35,3/26/15,NA
11470,135452,WA515,315,27,38,49,34,3/27/15,NA
11471,135453,WA515,315,28,38,35,28,3/28/15,NA
11472,135454,WA515,315,29,38.2,40,25,3/29/15,NA
11473,135455,WA515,315,30,38,45,34,3/30/15,NA
11474,135456,WA515,315,31,37.8,37,22,3/31/15,NA
11475,135457,WA515,415,1,37.6,34,21,4/1/15,NA
